word,rating
food,4.000000000000001
time,2.3
delic,1.2
menu,1.0
գլխավորմենյուծառայություններթափուր,0.9999999999999999
աշխատատեղերպատկերասրահմեր,0.9999999999999999
մասինկապamruenծառայություններգլխավոր,0.5
ծառայություններծառայություններfood,0.5
timeը,4.9
գողտրիկ,0.9999999999999999
վայր,0.9999999999999999
ապահովում,0.9999999999999999
հաճելի,0.9999999999999999
համեղ,0.9999999999999999
ժամանաց,0.9999999999999999
ընկերների,0.9999999999999999
ընտանիքի,0.9999999999999999
անդամների,0.9999999999999999
հետպահքի,0.7
ճաշացանկհատուկ,1.0999999999999999
ճաշացանկ,1.9000000000000001
առողջ,1.2
ապրելակերպը,1.2
նախընտրողների,1.2
համարառաքումfood,0.7999999999999999
վստահ,1.2
քայլերով,1.2
միշտ,1.2
գալիս,1.2
ձեզ,1.2
ընդառաջբազմազան,0.7999999999999999
խոհանոցաշխարհի,1.0999999999999999
ամենահայտնի,1.2
համերը,1.2
մոտմեր,0.5
մասինfood,1.2
հիմնադրվել,1.2999999999999998
թվականի,1.2999999999999998
մարտի,1.2999999999999998
գյումրիում,1.4
նմանատիպ,1.4
ոլորտում,1.4
առաջիններից,1.4
սակայան,1.4
քրտնաջան,1.4
աշխատանքի,1.4
շնորհիվ,1.4
քաղաքում,1.4
դարձավ,1.4
առաջատար,1.4
հասցրեց,1.4
սիրվել,1.4
միայն,1.4
գյումրեցիների,1.4
ամբողջ,1.4
հայաստանի,1.4
արտերկրից,1.4
ժամանած,1.4
հյուրերի,1.4
կողմիցծառայություններպահքի,1.0
ճաշացանկառաքումբազմազան,1.2999999999999998
խոհանոցհարցեր,1.0
ունեքgorku,1.2
mi,1.6
gyumri,1.6
foodtimelistru,1.6
copyright,1.2
all,1.2
right,1.2
reserv,1.2
brain,1.5
for,1.5
մասինկապamruen,0.4
ծառայություններգլխավոր,0.5
ծառայություններ,2.4
ծառայություններfood,0.4
մոտ,0.7
պահքի,1.2
առաքումfood,0.30000000000000004
ընդառաջ,0.4
բազմազան,1.0
մեր,1.5
կողմից,0.4
ծառայություններպահքի,0.2
խոհանոց,1.0
հարցեր,0.6000000000000001
gorku,0.4
գլխավոր,0.8999999999999999
մենյու,0.4
թափուր,0.4
աշխատատեղեր,0.4
պատկերասրահ,0.4
մասին,0.8
կապ,0.4
ru,0.4
en,0.4
առաքում,0.7
մասինկապ,0.1
amruen,0.1
հատուկ,0.1
աշխարհի,0.1
ունեք,0.4
